['\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00$GPGGA', '211237.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211238.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211239.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211240.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211241.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211242.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211243.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211244.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211245.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211246.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211247.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
